Grain Name,Length Number,Apparent Length,Corr. Z Depth,True Length,Azimuth,Dip,Proj C len,Angle to C
Grain01,51,2.604456711,3.272,4.182006547,9.180465806,51.48080313,,52.06264776
Grain01,52,0.55900291,4.09,4.128024255,46.95022317,82.21729087,,84.69601228
Grain01,53,5.739373938,5.726,8.107249176,30.56525856,44.9331666,,52.44198285
Grain01,54,1.30952381,2.454,2.78154069,41.25986622,61.91435767,,69.2736006
Grain01,55,2.470804582,4.908,5.494846611,36.39535179,63.27822309,,68.78006099
Grain01,56,12.05931684,5.726,13.34968909,37.27472678,25.39928414,,44.04245068
Grain01,57,3.58893417,4.09,5.441373767,0.205052454,48.73337166,,48.73369363
Grain01,58,3.400281953,4.09,5.318836091,43.73216188,50.26105783,,62.4877591
Grain01,59,7.840635216,3.272,8.495972257,23.22840214,22.65141794,,31.99898447
Grain01,60,5.70674657,4.908,7.526979501,65.07996151,40.69667348,,71.36984132
Grain01,61,4.321208107,3.272,5.420223566,3.740133775,37.13284719,,37.29370993
Grain01,62,4.103174603,3.272,5.248049716,4.389968579,38.56995569,,38.78026912
Grain01,63,9.289315541,3.272,9.848724142,45.18395268,19.40392671,,48.3331442
Grain01,64,2.805900722,4.09,4.959957546,0.965856464,55.54834652,,55.55393118
Grain02,1,5.115902812,6.544,8.30640702,12.4387767,51.98277117,,53.02681053
Grain02,2,0.445152497,2.454,2.494048265,35.54550544,79.7184187,,81.64964547
Grain02,3,6.247403089,7.362,9.655521185,8.788294589,49.68201928,,50.25046814
Grain02,4,5.015854179,5.726,7.612218412,82.75873362,48.78232992,,85.235778
Grain02,5,6.382576,3.272,7.172395722,64.24182898,27.14174968,,67.24951805
Grain02,6,5.390121887,2.454,5.922459789,49.14034177,24.47869555,,53.45847708
Grain02,7,3.580429575,6.544,7.459451182,64.36724601,61.31553476,,78.01577447
Grain02,8,6.272362362,4.09,7.488032425,59.03159924,33.10704078,,64.46728338
Grain02,9,4.262606723,4.09,5.907445816,10.75644723,43.81615049,,44.85558818
Grain02,10,4.617090351,4.908,6.738396494,8.885436474,46.74934987,,47.39280636
Grain02,11,2.66520179,4.09,4.881741552,7.37192928,56.91018278,,57.21825971
Grain02,12,3.476752147,4.09,5.368044848,4.260065652,49.63341283,,49.76784333
Grain02,13,1.491810178,3.272,3.596036931,45.20838181,65.49022994,,73.00589505
Grain02,14,8.53325568,7.362,11.27011519,17.44664587,40.78572714,,43.75315041
Grain02,15,6.315351207,4.09,7.524078739,29.788544,32.92823507,,43.24388144
Grain02,16,1.715204046,4.908,5.199075775,51.0208642,70.73695606,,78.02277131
Grain02,17,2.038076077,4.09,4.569666738,70.97127756,63.51259775,,81.63868174
Grain02,18,8.886341046,5.726,10.57138275,9.14225907,32.79610021,,33.90894585
Grain02,19,5.680643915,4.09,6.999843948,26.87811826,35.75346466,,43.62521202
Grain02,20,2.850366744,2.454,3.761210786,25.73416776,40.72653733,,46.94743016
Grain02,21,0.523809524,1.636,1.717810355,65.76442703,72.24613104,,82.80943151
Grain02,22,3.944061174,7.362,8.351925679,86.53610016,61.82060803,,88.36500397
Grain02,23,2.414642596,4.09,4.749589337,64.83686761,59.44336795,,77.5160692
Grain02,24,3.511651412,4.908,6.034911734,79.36024462,54.41645416,,83.83245621
Grain02,25,3.514905453,5.726,6.718752588,38.61696756,58.45631424,,65.87337507
Grain02,26,4.321208107,7.362,8.536503002,32.36567532,59.5887208,,64.68692234
Grain02,27,1.118005819,3.272,3.457733508,27.10461878,71.13527584,,73.27221525
Grain02,28,3.26885869,6.544,7.315010126,9.878899979,63.45695595,,63.8805443
Grain02,29,2.66520179,1.636,3.127266631,34.15692479,31.54315046,,45.15135451
Grain02,30,5.444988172,2.454,5.97243771,12.20497687,24.26059837,,26.99076316
Grain02,31,5.23008647,7.362,9.030661575,80.81076178,54.60938449,,84.69327651
Grain02,32,1.851946332,2.454,3.074381436,32.36567532,52.95944625,,59.41609185
Grain02,33,7.17786834,3.272,7.888458525,73.1807592,24.50566374,,74.73472595
Grain02,34,5.885577514,8.18,10.0773222,56.51121728,54.26467279,,71.20040996
Grain02,35,1.445098404,2.454,2.847880861,89.21867949,59.50724713,,89.60354415
